id,room_id/id,noted_date,temp,out/in
__export__.temp_log_191536_545403ff,Room Admin,07.12.2018,27,In
__export__.temp_log_191535_f15e6363,Room Admin,07.12.2018,27,In
__export__.temp_log_191530_2fadac12,Room Admin,07.12.2018,27,In
__export__.temp_log_191529_d9822bcc,Room Admin,07.12.2018,27,In
__export__.temp_log_191522_739ac5ed,Room Admin,07.12.2018,27,In
__export__.temp_log_142714_ac3d7f5e,Room Admin,11.09.2018,34,In
__export__.temp_log_142838_ff9d325e,Room Admin,11.09.2018,34,In
__export__.temp_log_88053_4832bf56,Room Admin,11.09.2018,34,In
__export__.temp_log_144949_7a074b0d,Room Admin,11.09.2018,34,In
__export__.temp_log_107503_ee161d29,Room Admin,11.09.2018,34,In
